CMDLINE python src/compress/measure_memory_v1.py
MEM 3939.273438 1778266351.2411
MEM 3939.273438 1778266351.3416
MEM 3939.273438 1778266351.4421
MEM 3939.273438 1778266351.5425
MEM 3939.273438 1778266351.6428
MEM 3939.273438 1778266351.7433
MEM 3939.273438 1778266351.8437
MEM 3939.273438 1778266351.9440
MEM 3939.273438 1778266352.0443
MEM 3981.792969 1778266352.1447
MEM 4057.777344 1778266352.2451
MEM 4133.863281 1778266352.3455
MEM 4210.218750 1778266352.4459
MEM 4286.328125 1778266352.5464
MEM 4362.324219 1778266352.6468
MEM 4438.468750 1778266352.7472
MEM 4743.125000 1778266352.8476
MEM 4819.351562 1778266352.9480
MEM 4895.304688 1778266353.0485
MEM 4971.363281 1778266353.1489
MEM 5022.171875 1778266353.2493
MEM 5022.171875 1778266353.3496
MEM 5022.171875 1778266353.4501
MEM 5022.171875 1778266353.5506
MEM 5022.171875 1778266353.6510
MEM 5022.171875 1778266353.7515
MEM 5022.171875 1778266353.8520
MEM 5022.171875 1778266353.9524
MEM 5022.171875 1778266354.0527
MEM 5022.171875 1778266354.1531
MEM 5022.171875 1778266354.2536
MEM 5022.171875 1778266354.3540
MEM 5022.171875 1778266354.4543
MEM 5022.171875 1778266354.5546
MEM 5044.296875 1778266354.6549
MEM 5120.207031 1778266354.7553
MEM 5196.644531 1778266354.8558
MEM 5273.324219 1778266354.9562
MEM 5349.164062 1778266355.0566
MEM 5425.117188 1778266355.1570
MEM 5501.332031 1778266355.2573
MEM 5577.468750 1778266355.3578
MEM 5653.488281 1778266355.4582
MEM 5729.683594 1778266355.5586
MEM 5805.605469 1778266355.6590
MEM 5881.500000 1778266355.7594
MEM 5957.609375 1778266355.8599
MEM 6033.675781 1778266355.9603
MEM 6044.761719 1778266356.0607
MEM 6044.761719 1778266356.1610
MEM 6044.761719 1778266356.2615
MEM 6044.761719 1778266356.3619
MEM 6044.761719 1778266356.4624
MEM 6044.761719 1778266356.5629
MEM 6044.761719 1778266356.6634
MEM 6044.761719 1778266356.7639
MEM 6044.761719 1778266356.8643
MEM 6044.761719 1778266356.9646
MEM 6044.761719 1778266357.0649
MEM 6044.761719 1778266357.1654
MEM 6044.761719 1778266357.2658
MEM 6044.761719 1778266357.3663
MEM 6044.761719 1778266357.4665
MEM 6044.761719 1778266357.5668
