Errors log for ligand_PO4
                Error in graph_extraction for 2G59:                 
                Error in graph_extraction for 3ICF:                 
                Error in graph_extraction for 4R03:                 
                Error in graph_extraction for 2VLB:                 
                Error in graph_extraction for 4MZY:                 
                Error in graph_extraction for 2PNS:                 
                Error in graph_extraction for 1BVB:                 
                Error in graph_extraction for 1UWV:                 
                Error in graph_extraction for 2OTD:                 
                Error in graph_extraction for 1QJS:                 
                Error in graph_extraction for 3LQK:                 
                Error in graph_extraction for 2W58:                 
                Error in graph_extraction for 1DSY:                 
                Error in graph_extraction for 3CNH:                 
                Error in graph_extraction for 4Z8V:                 
                Error in graph_extraction for 3PR3:                 
                Error in graph_extraction for 3ZOK:                 
                Error in graph_extraction for 2GJU:                 
                Error in graph_extraction for 1V2X:                 
                Error in graph_extraction for 3I48:                 
                Error in graph_extraction for 3F2I:                 
                Error in graph_extraction for 1KKM:                 
                Error in graph_extraction for 2WSH:                 
                Error in graph_extraction for 1Z5C:                 
                Error in graph_extraction for 4Z7C:                 
                Error in graph_extraction for 3ZJX:                 
                Error in graph_extraction for 4RXF:                 
                Error in graph_extraction for 4AAQ:                 
                Error in graph_extraction for 2ACA:                 
                Error in graph_extraction for 3TRI:                 
                Error in graph_extraction for 2WEL:                 
                Error in graph_extraction for 3IFR:                 
                Error in graph_extraction for 3BGK:                 
                Error in graph_extraction for 4N31:                 
                Error in graph_extraction for 3RK1:                 
                Error in graph_extraction for 3NZC:                 
                Error in graph_extraction for 2G9Z:                 
                Error in graph_extraction for 3CQ6:                 
                Error in graph_extraction for 5B04:                 
                Error in graph_extraction for 4XT3:                 
                Error in graph_extraction for 1P49:                 
                Error in graph_extraction for 5CUX:                 
                Error in graph_extraction for 2CG5:                 
                Error in graph_extraction for 4Z0I:                 
                Error in graph_extraction for 2AML:                 
                Error in graph_extraction for 2GB0:                 
                Error in graph_extraction for 3ZYI:                 
                Error in graph_extraction for 3D6J:                 
                Error in graph_extraction for 2PBL:                 
                Error in graph_extraction for 2WEF:                 
                Error in graph_extraction for 5N8Z:                 
                Error in graph_extraction for 5FJJ:                 
                Error in graph_extraction for 4Z2J:                 
                Error in graph_extraction for 1ZVD:                 
                Error in graph_extraction for 4B6S:                 
                Error in graph_extraction for 1KBI:                 
                Error in graph_extraction for 1VL8:                 
                Error in graph_extraction for 3L39:                 
                Error in graph_extraction for 2Z5K:                 
                Error in graph_extraction for 3MLE:                 
                Error in graph_extraction for 4ASJ:                 
                Error in graph_extraction for 3CPE:                 
                Error in graph_extraction for 4UUJ:                 
                Error in graph_extraction for 1K6Y:                 
                Error in graph_extraction for 2DER:                 
                Error in graph_extraction for 4MLL:                 
                Error in graph_extraction for 2O4C:                 
                Error in graph_extraction for 2B4J:                 
                Error in graph_extraction for 2QCU:                 
                Error in graph_extraction for 2VDU:                 
                Error in graph_extraction for 2ZUN:                 
                Error in graph_extraction for 5JS2:                 
                Error in graph_extraction for 3M18:                 
                Error in graph_extraction for 2F12:                 
                Error in graph_extraction for 1WV4:                 
                Error in graph_extraction for 2OZT:                 
                Error in graph_extraction for 1BFF:                 
                Error in graph_extraction for 3IV3:                 
                Error in graph_extraction for 3E9D:                 
                Error in graph_extraction for 4KGM:                 
                Error in graph_extraction for 3M4U:                 
                Error in graph_extraction for 1K9Y:                 
                Error in graph_extraction for 3T61:                 
                Error in graph_extraction for 2DDO:                 
                Error in graph_extraction for 2ZBJ:                 
                Error in graph_extraction for 4GBD:                 
                Error in graph_extraction for 5FFQ:                 
                Error in graph_extraction for 4EFV:                 
                Error in graph_extraction for 5DNP:                 
                Error in graph_extraction for 4LNF:                 
                Error in graph_extraction for 4FAK:                 
                Error in graph_extraction for 4DAJ:                 
                Error in graph_extraction for 3PNU:                 
                Error in graph_extraction for 1FZJ:                 
                Error in graph_extraction for 2ZZX:                 
                Error in graph_extraction for 4E84:                 
                Error in graph_extraction for 2EZ4:                 
                Error in graph_extraction for 1DK4:                 
                Error in graph_extraction for 2AQ9:                 
                Error in graph_extraction for 2BT4:                 
                Error in graph_extraction for 3A8T:                 
                Error in graph_extraction for 2PUP:                 
                Error in graph_extraction for 5FOV:                 
                Error in graph_extraction for 4M5F:                 
                Error in graph_extraction for 1CY7:                 
                Error in graph_extraction for 1CBQ:                 
                Error in graph_extraction for 4B21:                 
                Error in graph_extraction for 1D1Q:                 
                Error in graph_extraction for 5D00:                 
                Error in graph_extraction for 2W50:                 
                Error in graph_extraction for 2IMD:                 
                Error in graph_extraction for 2EZ2:                 
                Error in graph_extraction for 3M9W:                 
                Error in graph_extraction for 2E9Q:                 
                Error in graph_extraction for 4BVQ:                 
                Error in graph_extraction for 1Y1P:                 
                Error in graph_extraction for 3RFV:                 
                Error in graph_extraction for 4OC8:                 
                Error in graph_extraction for 2DXB:                 
                Error in graph_extraction for 2IBG:                 
                Error in graph_extraction for 1T8Y:                 
                Error in graph_extraction for 3ASX:                 
                Error in graph_extraction for 3UM8:                 
                Error in graph_extraction for 2QDG:                 
                Error in graph_extraction for 1A9O:                 
                Error in graph_extraction for 2GM7:                 
                Error in graph_extraction for 1YXM:                 
                Error in graph_extraction for 3D87:                 
                Error in graph_extraction for 1NSJ:                 
                Error in graph_extraction for 1PC3:                 
                Error in graph_extraction for 1PT7:                 
                Error in graph_extraction for 2FUQ:                 
                Error in graph_extraction for 1U14:                 
                Error in graph_extraction for 5TET:                 
                Error in graph_extraction for 3FQ3:                 
                Error in graph_extraction for 5GSL:                 
                Error in graph_extraction for 5XJ6:                 
                Error in graph_extraction for 4H6T:                 
                Error in graph_extraction for 4TRB:                 
                Error in graph_extraction for 5NVM:                 
                Error in graph_extraction for 3TWH:                 
                Error in graph_extraction for 1C8X:                 
                Error in graph_extraction for 1GPM:                 
                Error in graph_extraction for 5DCG:                 
                Error in graph_extraction for 2XMO:                 
                Error in graph_extraction for 2HNH:                 
                Error in graph_extraction for 5Y00:                 
                Error in graph_extraction for 1MH9:                 
                Error in graph_extraction for 5T9Q:                 
                Error in graph_extraction for 3W00:                 
                Error in graph_extraction for 4KTT:                 
                Error in graph_extraction for 1AVQ:                 
                Error in graph_extraction for 3C87:                 
                Error in graph_extraction for 2EFB:                 
                Error in graph_extraction for 3AQG:                 
                Error in graph_extraction for 3OGL:                 
                Error in graph_extraction for 3WL3:                 
                Error in graph_extraction for 1RWC:                 
